state,tmin,tmax,nmin,nmax,phomin,phomax,pomin,pomax,phmin,phmax
Andaman and Nicobar,26.6,27.036364,20,100,20,75,20,140,4.82,6.68
Andhra Pradesh,25.46,29.266667,10,180,10,125,10,200,3.82,7
Arunachal Pradesh,1.18,11.2,20,180,15,75,20,100,4.82,7
Assam,20.8,27.333333,20,180,10,75,10,140,3.82,7
Bihar,23.106,34.923333,10,180,10,60,20,120,4.82,7
Chandigarh,16.82,28.7,20,180,30,75,20,90,4.82,7
Chhattisgarh,22.38,28.033333,10,180,10,75,20,120,4.82,7
Dadra and Nagar Haveli,27.016,28.223333,10,100,15,60,20,50,4.86,6.68
Goa,27.316667,28.657273,50,100,40,75,20,60,4.9,6.18
Gujarat,27.276,33.763333,20,180,10,125,20,90,4.82,7
Haryana,21.704,35.346667,10,180,10,60,20,200,3.86,7
Himachal Pradesh,10.38,22.033333,10,180,10,100,20,100,4.82,7
Jammu and Kashmir,14.7,27.866667,10,180,10,60,20,100,4.82,7
Jharkhand,18.58,25.666667,50,180,30,125,20,90,4.82,7
Karnataka,21.3,25.833333,10,180,10,75,20,200,3.82,7
Kerala,27,29.333333,20,160,10,125,10,150,4.82,6.68
Madhya Pradesh,23.562,30.43,10,180,10,125,10,200,3.82,7
Maharashtra,25.6,27.966667,20,120,15,125,20,200,3.82,7
Manipur,23.14,29.6,20,180,10,100,10,120,3.84,6.68
Meghalaya,15.852,22.07,10,180,10,75,20,140,4.82,7
Mizoram,21.482,26.646667,20,180,15,60,20,90,4.82,6.8
Nagaland,18.92,26.433333,20,180,15,75,20,150,4.82,7
Odisha,23.56,30.266667,10,180,10,60,20,120,4.82,7
Puducherry,25.76,29.4,10,180,15,75,20,140,4.82,6.68
Punjab,20.312,34.73,10,120,15,60,20,45,4.82,7
Rajasthan,22.766,33.373333,20,120,10,125,20,200,4.82,7
Sikkim,12.5,20.1,10,180,30,60,10,90,3.92,7
Tamil Nadu,25.44,29.566667,20,180,10,125,20,200,4.82,7
Telangana,25.574,28.994545,10,180,10,125,10,200,3.82,7
Tripura,21.66,27.266667,10,180,15,60,10,90,3.82,7
Uttar Pradesh,22.676,34.666667,20,180,10,75,20,120,4.82,7
Uttarakhand,14.6,25.666667,10,180,10,60,20,100,4.82,7
West Bengal,22.28,29.2,20,180,10,75,20,150,4.82,7
